Title,Ingredients,Removed amounts and measurements
Cauliflower Broccoli Tarts with Almonds,"['12 ounces Puff pastry dough (frozen)', '12 ounces Broccoli floret', '12 ounces Cauliflower florets', 'Salt', '10 ounces Whipping cream', '4 Eggs', 'freshly ground Pepper', '1 pinch freshly grated Nutmeg', '3 ounces Feta cheese', '2 tablespoons Sliced almonds']","['pastry','broccoli','cauliflower','salt','cream','egg','pepper','nutmeg','feta','almond']"
Wild Garlic (or Leek) Tomato Quiche,"['1 piece Parmesan cheese (about 1 ounce)', '5.3 ounces Pastry flour', '2.3 ounces Cultured butter', '9 ounces cherry tomato', '2 red Onions', '1 teaspoon Olive oil', 'Salt', 'Pepper', '1 handful Wild garlic (about 1.5 ounces, or leeks)', '8 ounces Cream cheese (5% fat)', '4.5 fluid ounces Milk (low-fat)', '4 Eggs', 'Nutmeg']","['parmesan','flour','butter','tomato','onion','oil','salt','pepper','garlic','cream','milk','egg','nutmeg']"
Onion and Goat Cheese Quiche,"['400 grams Puff pastry dough (frozen)', 'Pastry flour (for dusting work surface)', '8 Yellow onions', '400 grams Goat cheese (in a log)', '3 Eggs', '300 grams Creme fraiche cheese', '200 milliliters Whipping cream', 'Salt', 'freshly ground Pepper', 'Nutmeg']","['pastry','flour','onion','cheese','egg','creme fraiche','cream','salt','pepper','nutmeg']"
Egg and Vegetable Bake,"['250 grams Pastry flour (and some flour on the work surface)', 'Salt', '130 grams Cultured butter (cold)', '6 Eggs', '750 grams white Asparagus', '300 grams Broccoli', '10 Cherry tomatoes', '250 grams Creme fraiche cheese', '125 milliliters Milk (low-fat)', '2 tablespoons Lemon juice', 'Pepper', 'Nutmeg', '50 grams grated Gouda cheese']","['flour','salt','butter','egg','asparagus','broccoli','tomato','creme fraiche','milk','lemon','pepper','nutmeg','gouda']"
Asparagus Tartlets,"['6 sheets Filo dough ((about 6)', '2 tablespoons Olive oil (plus more for oiling tartlet molds)', 'a little Pastry flour (for dusting work surface)', '3 stalks white Asparagus', '3 stalks green Asparagus', 'Salt', '4 ounces Ricotta cheese', '2 tablespoons Cream cheese (13% fat)', '1 Egg', 'Pepper', 'Tabasco sauce', '1 tablespoon Wild garlic pesto']","['filo dough','oil','flour','asparagus','asparagus','salt','ricotta','cream','egg','pepper','tabasco sauce','garlic']"
Vegan Vegetable Quiche,"['200 grams Pastry flour', '100 grams Semolina', '50 grams soft vegan Margarine', '1 teaspoon Salt', '80 milliliters Soy milk', 'soft vegan Margarine (for the pan)', 'Pastry flour (for the work surface)', '1 Onion', '1 Garlic clove', '1 red Bell pepper', '1 orange Bell pepper', '1 small Zucchini', '2 tablespoons Olive oil', 'Salt', '4 stalks green Asparagus', '100 grams Broccoli floret', '2 Tomatoes', '2 tablespoons Soy flour', '250 grams Silken tofu', '1 tablespoon Nutritional yeast flakes', 'freshly ground Pepper', '2 tablespoons freshly chopped Fresh herbs (such as rosemary, thyme, oregano)', '3 tablespoons Breadcrumbs', 'Sage leaf (for garnish)']","['flour','100 grams semolina','margarine','tea','milk','margarine','flour','onion','garlic','pepper','pepper','zucchini','oil','salt','asparagus','broccoli','tomato','flour','tofu','yeast','pepper','oregano','rum','sage']"
Low Calorie Smoked Salmon and Egg Tartlets,"['1.333 cups Whole-wheat flour', '0.5 teaspoon Iodized salt', '1 egg', '0.5 cup light Butter', '0.5 cup smoked Salmon', '1.333 cups jarred Artichoke hearts (drained)', '0.667 cup low-fat Yogurt', '2 eggs', '1 teaspoon Horseradish (freshly grated)', 'Iodized salt', 'peppers', 'Shortening (to grease the tins)', 'flour (for rolling)', '0.5 cup Gouda (grated)']","['flour','tea','egg','butter','salmon','artichoke hearts','yogurt','egg','horseradish','salt','pepper','shortening (to grease the tins)','flour','gouda']"
Pumpkin Quiche,"['For the dough', '225 grams Pastry flour', '110 grams Butter', '1 teaspoon Salt', '50 milliliters cold Water', 'Fat (for the baking dish)', 'Pastry flour (for work surface)', '1 piece Pumpkin (300 grams)', '2 Onions', '125 grams Bacon', '1 bunch Parsley', '1 bunch Chives', '125 grams Emmentaler cheese', '250 grams Sour cream', '3 Eggs', 'Salt', 'freshly ground Pepper', 'Fat (for sauteing)']","['for the dough','flour','butter','tea','water','baking dish','flour','pumpkin','onion','bacon','parsley','chives','ale','cream','egg','salt','pepper','fat']"
Swiss Chard and Bacon Quiche,"['150 grams starchy Potatoes', '20 grams fresh Yeast (1/2 cube)', '220 grams Pastry flour', 'Salt', 'Nutmeg', '100 grams Roquefort cheese', '125 grams Emmentaler cheese', '3 Eggs', '250 grams Creme fraiche cheese', '250 milliliters Milk', 'Salt (and)', 'freshly ground Pepper', '300 grams Swiss chard', '1 small eggplant', '1 Onion', '1 tablespoon Vegetable oil', '4 slices Bacon', '50 grams Gouda cheese (grated)', 'Butter (for the baking pan)', 'Pastry flour (for the baking pan)']","['potato','yeast','flour','salt','nutmeg','roquefort','ale','egg','creme fraiche','milk','salt','pepper','swiss chard','egg','onion','oil','bacon','gouda','butter','flour']"
Small Pies with Carrots and Ground Meat,"['200 grams Pastry flour', '1 pinch Salt', '1 Egg', '140 grams Butter', '120 grams Carrots', '1 Onion', '120 grams mixed Ground meat', '1 tablespoon Vegetable oil', '1 Egg white', '3 tablespoons Whipping cream', 'freshly ground Pepper', 'Pastry flour (for working the dough)', 'Butter (for the molds)', '1 Egg yolk']","['flour','salt','egg','butter','carrot','onion','ground meat','oil','egg','cream','pepper','flour','butter','egg']"
Quiche with Onions and Cheese,"['90 grams Pastry flour', '40 grams Butter', '1 small Egg yolk', '1 tablespoon Butter', '1 tablespoon Olive oil', '500 grams Onion', '1 Garlic clove', '0.5 tablespoon Sugar', '2 Eggs', '150 grams Whipping cream', '40 grams grated Gruyére cheese', 'Salt', 'freshly ground Pepper']","['flour','butter','egg','butter','oil','onion','garlic','sugar','egg','cream','cheese','salt','pepper']"
Cheese and Bacon Egg Bake,"['300 grams Pastry flour', 'Salt', 'Pastry flour (for work surface)', '200 grams softened Butter', '1 Egg', 'Butter (for greasing)', 'Legumes (for blind baking, z. B. peas)', '1 red Onion', '1 Egg', '350 grams Creme fraiche cheese', 'Pepper', 'Nutmeg (freshly grated)', '12 slices speck (or bacon)', '100 grams Gorgonzola (or substitute Roquefort)']","['flour','salt','flour','butter','egg','butter','peas','onion','egg','creme fraiche','pepper','nutmeg','bacon','gorgonzola']"
Pizza Calzone,"['1 pound Spinach (frozen)', '2 Onions (about 100 grams)', '4 tablespoons Olive oil', 'Salt', 'Pepper', 'Nutmeg', '4 ounces smoked Fresh mozzarella', '2 Eggs', '7 ounces Ricotta cheese', '9 ounces Poultry cold cuts', '5 ounces oil-packed Sun-dried tomatoes', '4 Pizza dough', 'Pastry flour (as needed)']","['spinach','onion','oil','salt','pepper','nutmeg','mozzarella','egg','ricotta','cold cuts','tomato','pizza dough','flour']"
Calzone Stuffed with Mushrooms and Ham,"['400 grams Pastry flour', '1 pinch Salt', '1 pinch Sugar', '1 package Dry yeast', '6 tablespoons Olive oil', '1 Egg', '0.13 liter lukewarm Water', '1 Onion', '1 Garlic clove', '1 tablespoon Butter', '400 grams Diced tomatoes', '2 tablespoons Tomato paste', 'Salt', 'freshly ground Pepper', '1 teaspoon sweet ground paprika', '1 tablespoon Oregano', '1 Bay leaf', '500 grams fresh Button mushrooms', '50 grams Olives (black, pitted, sliced)', '200 grams cooked Ham (thinly sliced)', '100 grams Shredded cheese (grated)', '2 tablespoons Parmesan', '2 tablespoons Pizza Spice', 'Pastry flour (for working the dough)', 'Basil (for garnish)']","['flour','salt','sugar','yeast','oil','egg','water','onion','garlic','butter','tomato','tomato','salt','pepper','paprika','oregano','bay leaf','mushroom','olives','ham','cheese','parmesan','ice','flour','basil']"
Grain Pastry Calzone,"['2.333 cups gluten-free bread flour (plus extra for dusting)', '2 tablespoons dried Milk powder', '2 teaspoons sugar', '1.5 teaspoons salt', '1 teaspoon quick-rising active dry yeast', '3 eggs', '2 tablespoons warm water', '0.25 cup butter (melted)', '8 cups Frozen Spinach (thawed)', '1.25 cups Feta cheese (crumbled)', '1 tablespoon chopped mint', 'salt', 'peppers', '0.5 cup cooked Quinoa', '1 egg yolk', '1 tablespoon water', 'Sea salt', 'Sea salt']","['flour','milk','tea','tea','yeast','egg','water','butter','spinach','feta','mint','salt','pepper','quinoa','egg','water','salt','salt']"
Ham and Cheese Calzone,"['1 teaspoon active dry yeast', '1 pinch sugar', '3 cups All purpose flour', '3 tablespoons olive oil', '1 teaspoon salt', 'All purpose flour (for the work surface)', '2 onions (chopped)', '1 clove garlic (chopped)', '1 tablespoon olive oil', '2 cups canned, chopped tomatoes', 'cayenne pepper', '3 tablespoons tomato puree', '0.667 cup peas (frozen)', '1.125 cups fresh Mozzarella (chopped)', '1.333 cups cooked ham (chopped)', '2 tablespoons fresh Basil (chopped)']","['yeast','sugar','flour','oil','tea','flour','onion','garlic','oil','tomato','cayenne','tomato','peas','mozzarella','ham','basil']"
Spinach and Cheese Calzones,"['1 prepared pizza crust', '1 tablespoon olive oil', '0.5 cup onions', '3 cloves garlic', '6 cups Spinach', '1 tablespoon lemon juice', '0.75 cup Feta cheese (crumbled)', '3 tablespoons pine nut', '1 teaspoon dried oregano', '0.25 teaspoon salt', '0.25 teaspoon ground cayenne pepper', '1 egg white (beaten)', '2 teaspoons fennel seeds']","['pizza crust','oil','onion','clove','spinach','lemon','feta','3 tablespoons pine nut','oregano','tea','cayenne','egg','fennel']"
Calzone with Ricotta and Ham,"['400 grams Pastry flour', '4 tablespoons Olive oil', '0.5 teaspoon Salt', '0.5 teaspoon Sugar', '150 grams Ham', '150 grams Ricotta cheese', '50 grams Parmesan', '2 tablespoons Creme fraiche cheese', '1 Egg', '0.5 bunch Oregano', 'Salt', 'freshly ground Pepper', 'Pastry flour (for working the dough)']","['flour','oil','tea','tea','ham','ricotta','parmesan','creme fraiche','egg','oregano','salt','pepper','flour']"
"Ham, Cheese, Pepper and Pea Calzone","['16 ounces store-bought Pizza dough (at room temperature)', '1.25 cups shredded Fontina cheese', '0.5 cup roasted Red pepper (chopped)', '0.25 cup frozen peas', '0.5 cup thin-sliced Prosciutto (chopped)', '0.5 cup Goat cheese', 'olive oil']","['pizza dough','fontina','pepper','peas','prosciutto','cheese','oil']"
"Spinach, Cheese, and Tomato Calzones","['400 grams Puff pastry dough (TK)', '300 grams Cherry tomatoes', '250 grams fresh young Spinach', '200 grams Cheddar cheese (in slices)', 'Pastry flour (for the desktop)', 'Salt', 'Pepper (from the mill)', 'Nutmeg', '1 Egg (separated)']","['pastry','tomato','spinach','cheddar','flour','salt','pepper','nutmeg','egg']"
Salami and Mushroom Calzones,"['700 grams Pastry flour', '40 grams fresh Yeast', 'Salt', '300 milliliters warm Water', '1 pinch Sugar', '1 can Tomatoes (chopped, 400 grams) (approximately 14 ounces)', '8 tablespoons puréed Tomatoes', 'Olive oil', '70 grams Salami (cut into small cubes)', '100 grams Button mushrooms (finely chopped)', '200 grams grated Montasio cheese (mountain cheese)', 'Dried oregano']","['flour','yeast','salt','water','sugar','tomato','tomato','oil','salami','mushroom','cheese','oregano']"
Savory Apple Calzones,"['0.5 cube Yeast', '1 pinch Sugar', '300 grams Pastry flour', '3 tablespoons Olive oil', '1 teaspoon Salt', '2 large Onions', '2 tablespoons Butter', '2 large Apples', 'Salt', 'freshly ground Pepper']","['yeast','sugar','flour','oil','tea','onion','butter','apple','salt','pepper']"
Calzone,"['10 grams Yeast', '200 grams Pastry flour', 'Pastry flour (for dusting the work surface)', '2 tablespoons Olive oil', '1 pinch Sugar', '0.25 Salt', '100 grams raw Ham (such as prosciutto or sliced salami)', '150 grams Fresh mozzarella', '50 grams Ricotta cheese', '1 sprig fresh Oregano', '2 Eggs', '2 tablespoons grated Parmesan', '5 tablespoons Olive oil', 'Salt', 'freshly ground black Pepper', '2 Tomatoes', '125 grams Fresh mozzarella', '0.5 bunch Basil']","['yeast','flour','flour','oil','sugar','salt','ham','mozzarella','ricotta','oregano','egg','parmesan','oil','salt','pepper','tomato','mozzarella','basil']"
Swiss Chard Calzone,"['400 grams Pastry flour', 'Salt', '1 cube Yeast (42 grams) (approximately 1 1/2 ounces)', '1 teaspoon Honey', '2 tablespoons Olive oil', 'Vegetable oil (for greasing)', '600 grams Swiss chard', 'Salt', 'freshly ground Pepper', '1 Onion', '2 Garlic cloves', '3 tablespoons Olive oil', '250 grams Ricotta cheese', '50 grams Parmesan', '2 Eggs', '2 tablespoons Pine nuts', 'Nutmeg']","['flour','salt','yeast','honey','oil','oil','swiss chard','salt','pepper','onion','clove','oil','ricotta','parmesan','egg','pine nuts','nutmeg']"
Calzone with Ham Filling,"['400 grams Pastry flour', '20 grams Yeast', '4 tablespoons Olive oil', '2 Egg yolks', '0.5 teaspoon Salt', '200 grams Ham', '200 grams Fresh mozzarella', '300 grams Ricotta cheese', '6 tablespoons Parmesan', '3 sprigs fresh Oregano (chopped)', '4 Eggs', '70 milliliters Olive oil', 'Salt', 'Pepper', '6 tablespoons Diced tomatoes', '2 tablespoons Pecorino cheese (grated)', 'Oregano']","['flour','yeast','oil','egg','tea','ham','mozzarella','ricotta','parmesan','oregano','egg','oil','salt','pepper','tomato','pecorino','oregano']"
Vegetarian Calzones,"['0.5 cube Yeast (21 grams or .75 ounces)', '1 pinch Sugar', '500 grams Pastry flour', '3 tablespoons Olive oil', '1 teaspoon Salt', 'Pastry flour (for kneading)', '1 Onion', '1 Garlic clove', '1 tablespoon Olive oil', '600 grams fresh Broccoli', 'Salt', '200 grams grated Fresh mozzarella (or butter cheese)', '1 tablespoon Tomato paste', '2 tablespoons Olive oil', '1 tablespoon Ketchup', '1 teaspoon dried italian Mixed herbs', 'freshly ground Pepper', 'Nutmeg']","['yeast','sugar','flour','oil','tea','flour','onion','garlic','oil','broccoli','salt','butter','tomato','oil','ketchup','tea','pepper','nutmeg']"
Vegetable Calzone,"['20 grams fresh Yeast', '500 grams Pastry flour', '2 teaspoons Salt', '300 grams Broccoli', '1 red Bell pepper', '2 Onions', '5 Garlic cloves', '500 grams Tomatoes', '150 grams Zucchini', '4 tablespoons Olive oil', 'Salt', 'freshly ground Pepper', '0.25 teaspoon dried Rosemary', '0.25 teaspoon dried Thyme', 'Olive oil (for brushing)']","['yeast','flour','tea','broccoli','pepper','onion','clove','tomato','zucchini','oil','salt','pepper','rosemary','tea','oil']"
"Calzone Filled with Mozzarella, Tomatoes, and Spinach","['400 grams Pastry flour', '1 teaspoon Salt', '0.5 cube fresh Yeast (21 grams)', '1 teaspoon Sugar', '4 tablespoons Olive oil', 'Pastry flour (for dusting the work surface)', '200 grams fresh Spinach', '4 Tomatoes', '2 scoops Fresh mozzarella (about 125 g)', '2 Garlic cloves', 'freshly ground black Pepper', 'Olive oil (for brushing)']","['flour','tea','yeast','tea','oil','flour','spinach','tomato','mozzarella','clove','pepper','oil']"
Smoked Salmon Calzone,"['400 grams Pastry flour', '1 teaspoon Sugar', '0.5 cube 21 grams (approximately 3/4 ounce) Yeast', '2 tablespoons Olive oil', '1 teaspoon Salt', 'Pastry flour (for kneading)', '0.5 handful Oregano', '1 handful Sprouts (such as radish sprouts)', '1 scoop 125 grams (4 1/2 ounces) Fresh mozzarella', '60 grams Creme fraiche cheese', '0.5 teaspoon Lemon zest', '1 tablespoon Lemon juice', 'Salt', 'Cayenne pepper', '350 grams Smoked salmon']","['flour','tea','yeast','oil','tea','flour','oregano','sprouts','mozzarella','creme fraiche','tea','lemon','salt','cayenne','salmon']"
Spinach Calzone,"['15 grams fresh Yeast', '1 pinch Sugar', '350 grams Pastry flour', '2 tablespoons Olive oil', '1 teaspoon Salt', 'Pastry flour (for the work surface)', '2 tablespoons Olive oil (for brushing)', '1 Onion', '1 Garlic clove', '3 Tomatoes', '2 tablespoons Olive oil', '2 tablespoons Tomato paste', '1 tablespoon freshly chopped Oregano', 'Salt', 'freshly ground Pepper (from the mill)', '400 grams Spinach', '2 Tomatoes', '1 Onion', '1 Garlic clove', '1 tablespoon Olive oil', 'Salt', 'freshly ground Pepper', 'freshly grated Nutmeg', '125 grams Fresh mozzarella', '200 grams Ricotta cheese', '1 Egg']","['yeast','sugar','flour','oil','tea','flour','oil','onion','garlic','tomato','oil','tomato','oregano','salt','pepper','spinach','tomato','onion','garlic','oil','salt','pepper','nutmeg','mozzarella','ricotta','egg']"
Eggplant Lasagna,"['2 eggplants', 'Salt', '1 Onion', '1 Garlic clove', 'Olive oil', '2 tablespoons Tomato paste', '3 ounces Red wine', '18 ounces crushed Tomatoes (canned)', '1 tablespoon Thyme', 'freshly ground Pepper', '3 tablespoons Butter', '3 tablespoons Pastry flour', '0.5 liter Milk', '6 ounces Whipping cream', '4 tablespoons grated Parmesan', 'Salt', 'Nutmeg', 'freshly ground Pepper', '9 Lasagne noodles', '4 ounces Mini mozzarella ball (bocconcini)', '2 tablespoons grated Parmesan', 'Basil leaf (for garnish)']","['egg','salt','onion','garlic','oil','tomato','wine','tomato','thyme','pepper','butter','flour','milk','cream','parmesan','salt','nutmeg','pepper','lasagne','mozzarella','parmesan','basil']"
Salmon Lasagna,"['4 Shallots', '2 Garlic cloves', '800 grams fresh Spinach', '5 tablespoons Olive oil', 'Salt', 'freshly ground Pepper', 'freshly ground Nutmeg', '2 tablespoons Butter', '4 tablespoons Pastry flour', '250 milliliters Milk', '250 milliliters Whipping cream', '1 generous pinch organic Lemon peel', '700 grams Salmon (ready to cook, skinless)', '2 tablespoons Lemon juice', 'Olive oil (for greasing)', '300 grams Lasagne noodle (pre-cooked, prepared)', '150 grams freshly grated Parmesan', '250 grams Fresh mozzarella']","['shallot','clove','spinach','oil','salt','pepper','nutmeg','butter','flour','milk','cream','lemon','salmon','lemon','oil','lasagne','parmesan','mozzarella']"
